state,source,station_id,station_name,frost_any,frost_days,observed_season_tmin_c,latitude,longitude,year,elevation,slope_deg,eastness,northness,TPI_native,TRI_native,roughness_native,plan_curvature,profile_curvature,surface_curvature_laplacian,cold_air_pooling_2000m,elevation_above_local_min_2000m,elevation_below_local_max_2000m,local_relief_2000m,local_sd_2000m,HAND_selected_m,era5__surface_thermal_radiation_downwards_sum__minimum,era5__surface_thermal_radiation_downwards_min__minimum,era5__skin_temperature__minimum,era5__skin_temperature_min__minimum,era5__temperature_2m__p05,era5__soil_temperature_level_2_max__p05,era5__soil_temperature_level_1_min__minimum,era5__lake_bottom_temperature_min__mean,era5__soil_temperature_level_2_min__minimum,era5__soil_temperature_level_2_max__minimum,era5__lake_bottom_temperature_min__p05,era5__surface_thermal_radiation_downwards_max__minimum,era5__temperature_2m_min__days_le_5c,era5__lake_total_layer_temperature__p25,era5__soil_temperature_level_1__minimum,era5__temperature_2m_min__p05,era5__lake_total_layer_temperature_max__p25,era5__lake_mix_layer_temperature__p25,era5__temperature_2m_max__mean,era5__soil_temperature_level_2_max__p25,era5__lake_mix_layer_temperature_min__mean,era5__temperature_2m_min__minimum,era5__soil_temperature_level_1_max__p05,era5__dewpoint_temperature_2m__minimum,era5__soil_temperature_level_1__mean,era5__lake_total_layer_temperature_min__mean,era5__surface_thermal_radiation_downwards_min__p25,era5__lake_total_layer_temperature_min__p25,era5__lake_mix_layer_temperature_min__p25,era5__lake_mix_layer_temperature_max__p25,era5__soil_temperature_level_2_min__p25,era5__lake_bottom_temperature_max__p25,era5__lake_bottom_temperature__p25,era5__surface_thermal_radiation_downwards_min__p05,era5__lake_total_layer_temperature_max__mean,era5__soil_temperature_level_2_min__p05,era5__soil_temperature_level_3__minimum,era5__soil_temperature_level_1_max__minimum,era5__lake_mix_layer_temperature_min__p75,era5__temperature_2m_max__p50,era5__soil_temperature_level_1_max__p25,era5__soil_temperature_level_4__p05,era5__temperature_2m__p50,era5__lake_bottom_temperature__mean,era5__soil_temperature_level_3_max__p05,era5__soil_temperature_level_1_min__p05,era5__skin_temperature__p05,era5__soil_temperature_level_1_min__mean,era5__soil_temperature_level_1__p25,era5__temperature_2m_min__p25,era5__soil_temperature_level_3_min__p25,era5__soil_temperature_level_2__minimum,era5__soil_temperature_level_2__p25,era5__soil_temperature_level_2__p05,era5__dewpoint_temperature_2m_max__p05,era5__soil_temperature_level_3_min__minimum,era5__temperature_2m__minimum,era5__soil_temperature_level_3__p05,era5__lake_mix_layer_temperature_min__p05,era5__lake_mix_layer_temperature_min__minimum,era5__lake_total_layer_temperature_min__p50,era5__skin_temperature__p25,era5__lake_bottom_temperature_max__p05,era5__temperature_2m__mean,modis_lst_night_min_c,modis_lst_night_p05_c,modis_lst_night_mean_c,modis_lai_valid_fraction,modis_lst_day_p05_c,modis_fpar_n_valid_observations,modis_lai_n_valid_observations,modis_nbar_savi_min,modis_lst_day_mean_c,modis_nbar_savi_mean,modis_fpar_valid_fraction,modis_diurnal_range_mean_c,modis_nbar_savi_p05,modis_diurnal_n_valid_days,modis_evi_n_valid_observations,modis_gpp_n_valid_observations,modis_lst_day_n_valid_days,modis_savi_mean,modis_nbar_savi_max,modis_lst_night_valid_fraction,modis_lst_day_min_c,modis_gpp_valid_fraction,modis_lst_day_valid_fraction,modis_savi_max,modis_savi_min,modis_savi_n_valid_observations,modis_lst_night_n_valid_days,modis_savi_sd,modis_fpar_min,modis_evi_max,modis_evi_valid_fraction,modis_evi_mean
MS,INMET,A702,CAMPO GRANDE,0,0,5.0,-20.45,-54.6,2002.0,606.03,3.3055217,0.4040031,0.9147576,0.12335205,1.331253,4.5200195,-0.003340295,0.0002060794,-0.00040003465,-15.443665,81.93005,30.629944,112.56,28.1225,35.870056,2.3737902e+07,931436.0,14.430695,5.956665,16.895466,21.404913,11.782074,18.684528,18.080048,19.84201,17.325054,1.037394e+06,0.0,18.818481,16.952362,12.291534,18.992828,18.898254,27.086641,22.55371,19.261225,7.6611633,23.711298,4.922119,22.204094,19.057144,1.166823e+06,18.654938,18.695953,19.042633,20.982117,18.63736,18.478577,1.0436322e+06,19.381495,19.249323,21.90686,21.226044,19.852203,27.723724,25.93695,23.641693,21.892456,18.787558,22.278631,15.691449,17.67533,18.496334,21.450348,16.076141,22.533722,18.947906,21.736053,19.977203,11.31341,21.885956,13.164124,22.194891,17.354548,17.083649,19.001617,20.774445,17.626812,21.57997,2.63,4.994,11.241429,0.0,15.470001,0.0,0.0,0.29078096,21.440334,0.34424326,0.0,11.640418,0.29793006,0.0,0.0,0.0,0.0,0.33430955,0.39419526,0.0,12.84,1.0,0.0,0.38903695,0.27970362,0.0,0.0,0.03039122,0.21,0.3978,1.0,0.32511663
MS,INMET,A702,CAMPO GRANDE,0,0,8.5,-20.45,-54.6,2003.0,606.03,3.3055217,0.4040031,0.9147576,0.12335205,1.331253,4.5200195,-0.003340295,0.0002060794,-0.00040003465,-15.443665,81.93005,30.629944,112.56,28.1225,35.870056,2.4934606e+07,967339.0,15.783142,8.965179,17.44981,20.663397,13.378021,18.640215,18.256042,19.759918,17.317633,1.14526e+06,0.0,18.539429,17.67752,12.54765,18.69693,18.539429,27.39122,22.590912,18.782164,10.447784,22.948498,2.6744385,22.028988,18.756384,1.154415e+06,18.401031,18.401031,18.697906,20.626556,18.678375,18.539429,1.0809814e+06,19.075216,19.034369,21.788422,21.165894,19.434235,28.067017,26.712769,23.154316,22.148376,18.751942,21.96159,15.11806,16.883026,18.107887,21.291016,15.793884,22.23648,19.02713,21.635284,19.802074,8.680585,21.778717,15.070221,21.922205,17.317633,17.018219,18.69693,20.480255,17.480524,21.66313,2.63,4.994,11.241429,0.0,15.470001,0.0,0.0,0.29078096,21.440334,0.34424326,0.0,11.640418,0.29793006,0.0,0.0,0.0,0.0,0.33430955,0.39419526,0.0,12.84,1.0,0.0,0.38903695,0.27970362,0.0,0.0,0.03039122,0.21,0.3978,1.0,0.32511663
MS,INMET,A702,CAMPO GRANDE,0,0,4.3,-20.45,-54.6,2004.0,606.03,3.3055217,0.4040031,0.9147576,0.12335205,1.331253,4.5200195,-0.003340295,0.0002060794,-0.00040003465,-15.443665,81.93005,30.629944,112.56,28.1225,35.870056,2.222445e+07,849810.0,10.816925,4.917267,14.3268,18.988836,10.394196,17.318674,14.849609,17.129395,16.213923,991528.0,0.0,17.093628,13.88208,10.154291,17.37564,17.094604,24.49853,20.101715,17.832556,5.8939514,20.375416,3.8091736,19.813885,17.691017,1.071319e+06,16.89029,16.89029,17.414703,18.274292,16.93814,16.779175,1.00325275e+06,18.028898,16.810675,19.991547,18.167023,18.643219,24.847198,22.752045,22.25951,19.539246,17.409107,20.218586,13.178888,14.656916,16.692396,18.35788,13.388306,20.65036,15.799103,19.049744,17.727758,9.188726,19.976562,10.689484,20.16654,16.213923,16.007477,17.860016,17.415375,16.47193,19.295366,2.63,4.994,11.241429,0.0,15.470001,0.0,0.0,0.29078096,21.440334,0.34424326,0.0,11.640418,0.29793006,0.0,0.0,0.0,0.0,0.33430955,0.39419526,0.0,12.84,1.0,0.0,0.38903695,0.27970362,0.0,0.0,0.03039122,0.21,0.3978,1.0,0.32511663
MS,INMET,A702,CAMPO GRANDE,0,0,4.8,-20.45,-54.6,2005.0,606.03,3.3055217,0.4040031,0.9147576,0.12335205,1.331253,4.5200195,-0.003340295,0.0002060794,-0.00040003465,-15.443665,81.93005,30.629944,112.56,28.1225,35.870056,2.3782156e+07,915183.0,11.353577,6.8855286,15.097925,19.680279,11.388916,18.166552,15.070526,16.589264,15.777789,1.079565e+06,0.0,16.975159,13.940094,10.3680725,17.085602,16.975159,26.45463,21.596039,18.493626,8.04422,21.866217,2.8146973,21.439653,18.381678,1.123061e+06,16.834625,16.834625,17.085602,19.686249,17.085602,16.975159,1.0356718e+06,18.71802,17.222467,20.246704,16.502228,19.934235,27.196198,24.621613,23.264257,21.811523,18.298767,20.565216,13.290741,15.780645,17.861498,19.867981,14.7005005,21.623077,15.823334,20.43576,18.120062,7.9797974,20.214508,11.525055,20.465357,15.777789,15.3229065,19.107086,19.007294,15.965094,20.907148,2.63,4.994,11.241429,0.0,15.470001,0.0,0.0,0.29078096,21.440334,0.34424326,0.0,11.640418,0.29793006,0.0,0.0,0.0,0.0,0.33430955,0.39419526,0.0,12.84,0.0,0.0,0.38903695,0.27970362,0.0,0.0,0.03039122,0.21,0.3978,1.0,0.32511663
MS,INMET,A702,CAMPO GRANDE,0,0,8.9,-20.45,-54.6,2006.0,606.03,3.3055217,0.4040031,0.9147576,0.12335205,1.331253,4.5200195,-0.003340295,0.0002060794,-0.00040003465,-15.443665,81.93005,30.629944,112.56,28.1225,35.870056,2.6132736e+07,1.016406e+06,16.082825,10.408569,17.098206,20.729748,14.32962,18.399168,18.302765,19.744751,17.431696,1.182303e+06,0.0,18.187164,17.746826,12.984686,18.328766,18.187622,27.978441,22.555878,18.526714,11.400604,22.95457,2.6131592,22.672686,18.504221,1.158319e+06,18.029938,18.029938,18.341461,20.737701,18.295563,18.162354,1.0922988e+06,18.819304,19.16322,21.81665,20.364258,18.983063,28.326935,26.6904,23.321936,22.290527,18.52044,21.907404,15.3656435,17.696453,18.683777,21.605927,16.406403,22.171387,19.052917,21.608978,19.996174,9.2850895,21.801453,15.141632,21.87945,17.437555,17.119781,18.653961,20.87027,17.75611,22.22987,2.63,4.994,11.241429,0.0,15.470001,0.0,0.0,0.29078096,21.440334,0.34424326,0.0,11.640418,0.29793006,0.0,0.0,0.0,0.0,0.33430955,0.39419526,0.0,12.84,0.0,0.0,0.38903695,0.27970362,0.0,0.0,0.03039122,0.21,0.3978,1.0,0.32511663
MS,INMET,A702,CAMPO GRANDE,0,0,6.9,-20.45,-54.6,2008.0,606.03,3.3055217,0.4040031,0.9147576,0.12335205,1.331253,4.5200195,-0.003340295,0.0002060794,-0.00040003465,-15.443665,81.93005,30.629944,112.56,28.1225,35.870056,2.6399752e+07,1.003367e+06,14.310791,8.249908,16.125416,20.211304,12.298889,18.137917,16.70575,18.823944,17.344196,1.167689e+06,0.0,18.059814,16.385284,12.595202,18.2565,18.060303,26.683712,21.487518,18.692467,9.429779,21.797632,3.6665955,21.494791,18.552156,1.162534e+06,17.916656,17.916656,18.280914,19.797638,18.102203,18.02002,1.0730652e+06,18.871525,18.464458,20.847076,19.467163,19.434235,27.052094,25.200714,22.425426,21.110962,18.208138,21.05161,15.040308,16.8154,17.748491,20.438507,15.408386,21.245514,17.748688,20.57901,19.05744,10.03374,20.834564,13.747955,21.02827,17.395954,17.166656,18.555328,19.66867,17.535603,21.082794,2.63,4.994,11.241429,0.0,15.470001,0.0,0.0,0.29078096,21.440334,0.34424326,0.0,11.640418,0.29793006,0.0,0.0,0.0,0.0,0.33430955,0.39419526,0.0,12.84,0.0,0.0,0.38903695,0.27970362,0.0,0.0,0.03039122,0.21,0.3978,1.0,0.32511663
MS,INMET,A702,CAMPO GRANDE,0,0,4.3,-20.45,-54.6,2009.0,606.03,3.3055217,0.4040031,0.9147576,0.12335205,1.331253,4.5200195,-0.003340295,0.0002060794,-0.00040003465,-15.443665,81.93005,30.629944,112.56,28.1225,35.870056,2.3499458e+07,908070.0,10.831024,5.9140015,13.357989,19.325953,11.104675,17.992859,15.33139,16.910614,17.175055,1.035209e+06,0.0,17.984192,14.363647,8.757709,18.181305,18.142334,25.628912,21.08725,18.860992,6.9461975,20.783503,4.864044,20.783028,18.63614,1.170341e+06,17.85025,17.903961,18.377594,19.436188,17.35611,17.33667,983873.9,18.986107,16.601934,20.69284,16.99884,19.518219,26.642914,23.717896,22.65224,21.143585,18.057413,21.044683,12.373797,13.621973,17.612013,19.695404,14.911407,21.331207,16.078583,20.200195,17.652191,10.370868,20.679718,10.206726,20.969563,17.380915,17.067047,18.46939,18.896027,17.232086,20.273386,2.63,4.994,11.241429,0.0,15.470001,0.0,0.0,0.29078096,21.440334,0.34424326,0.0,11.640418,0.29793006,0.0,0.0,0.0,0.0,0.33430955,0.39419526,0.0,12.84,0.0,0.0,0.38903695,0.27970362,0.0,0.0,0.03039122,0.21,0.3978,1.0,0.32511663
MS,INMET,A702,CAMPO GRANDE,0,0,5.9,-20.45,-54.6,2010.0,606.03,3.3055217,0.4040031,0.9147576,0.12335205,1.331253,4.5200195,-0.003340295,0.0002060794,-0.00040003465,-15.443665,81.93005,30.629944,112.56,28.1225,35.870056,2.509374e+07,973852.0,12.183441,8.350433,13.9552,18.751165,12.527557,17.786993,16.218231,16.981964,16.426228,1.135631e+06,0.0,17.51648,14.63858,10.110944,17.742828,17.525421,26.011614,20.990204,17.854576,9.093109,20.119501,4.947571,20.994335,17.847027,1.13155e+06,17.326813,17.326813,17.75943,19.009277,17.67154,17.454376,1.0577356e+06,18.183435,16.756475,20.408905,16.604095,18.460602,27.222137,23.974945,22.580103,20.981476,17.91829,20.854633,13.474731,15.022199,17.337885,19.38324,14.146851,21.222015,16.634155,19.832642,17.487316,9.940692,20.39206,11.677826,20.792383,16.426228,16.04068,17.902985,17.986542,16.78736,20.175476,2.63,4.994,11.241429,0.0,15.470001,0.0,0.0,0.29078096,21.440334,0.34424326,0.0,11.640418,0.29793006,0.0,0.0,0.0,0.0,0.33430955,0.39419526,0.0,12.84,0.0,0.0,0.38903695,0.27970362,0.0,0.0,0.03039122,0.21,0.3978,1.0,0.32511663
MS,INMET,A702,CAMPO GRANDE,0,0,3.7,-20.45,-54.6,2011.0,606.03,3.3055217,0.4040031,0.9147576,0.12335205,1.331253,4.5200195,-0.003340295,0.0002060794,-0.00040003465,-15.443665,81.93005,30.629944,112.56,28.1225,35.870056,2.3308192e+07,877433.0,12.265808,5.000641,13.582092,19.740498,9.995209,17.6354,15.704376,17.83377,16.075836,1.166196e+06,0.0,17.813873,14.425537,10.12348,18.00357,17.938599,26.737988,21.851532,18.181883,5.9470215,21.473408,1.2021179,21.855227,18.076792,1.120911e+06,17.517242,17.741852,18.153961,20.08487,17.178375,17.051544,1.041931e+06,18.428768,17.625738,20.967224,18.188171,18.886383,27.36026,26.12619,22.917927,21.125824,17.727959,21.234259,13.592847,15.091107,17.860983,20.36319,14.546417,21.764984,16.710815,20.944763,18.511719,9.537402,20.949005,10.472229,21.148273,16.616266,15.956696,18.232086,19.599396,16.136189,20.98481,2.63,4.994,11.241429,0.0,15.470001,0.0,0.0,0.29078096,21.440334,0.34424326,0.0,11.640418,0.29793006,0.0,0.0,0.0,0.0,0.33430955,0.39419526,0.0,12.84,0.0,0.0,0.38903695,0.27970362,0.0,0.0,0.03039122,0.21,0.3978,1.0,0.32511663
MS,INMET,A702,CAMPO GRANDE,0,0,5.8,-20.45,-54.6,2012.0,606.03,3.3055217,0.4040031,0.9147576,0.12335205,1.331253,4.5200195,-0.003340295,0.0002060794,-0.00040003465,-15.443665,81.93005,30.629944,112.56,28.1225,35.870056,2.4150974e+07,945492.0,12.942902,5.819977,13.494421,18.39272,10.166382,18.053957,14.7178955,16.69278,16.11607,1.05641e+06,0.0,18.280548,14.533661,10.153485,18.462555,18.69812,25.7021,21.075867,18.797138,7.3658752,20.325445,6.698456,20.613325,18.611149,1.1512076e+06,18.112946,18.403961,18.90689,19.30008,16.595367,16.561829,981263.4,18.94212,16.710993,18.964478,18.749298,19.466461,26.804169,22.950348,21.937359,21.154144,18.131598,19.56911,12.811548,13.863958,17.34822,19.862518,15.678741,20.93576,15.772339,20.194702,17.402924,9.859985,18.920319,12.467255,19.41919,16.460602,15.844391,18.714508,19.251709,16.161968,20.415668,2.63,4.994,11.241429,0.0,15.470001,0.0,0.0,0.29078096,21.440334,0.34424326,0.0,11.640418,0.29793006,0.0,0.0,0.0,0.0,0.33430955,0.39419526,0.0,12.84,0.0,0.0,0.38903695,0.27970362,0.0,0.0,0.03039122,0.21,0.3978,1.0,0.32511663
