rank,feature,block
1,latitude,Spatial/terrain/HAND
2,longitude,Spatial/terrain/HAND
3,year,Spatial/terrain/HAND
4,elevation,Spatial/terrain/HAND
5,slope_deg,Spatial/terrain/HAND
6,eastness,Spatial/terrain/HAND
7,northness,Spatial/terrain/HAND
8,TPI_native,Spatial/terrain/HAND
9,TRI_native,Spatial/terrain/HAND
10,roughness_native,Spatial/terrain/HAND
11,plan_curvature,Spatial/terrain/HAND
12,profile_curvature,Spatial/terrain/HAND
13,surface_curvature_laplacian,Spatial/terrain/HAND
14,cold_air_pooling_2000m,Spatial/terrain/HAND
15,elevation_above_local_min_2000m,Spatial/terrain/HAND
16,elevation_below_local_max_2000m,Spatial/terrain/HAND
17,local_relief_2000m,Spatial/terrain/HAND
18,local_sd_2000m,Spatial/terrain/HAND
19,HAND_selected_m,Spatial/terrain/HAND
20,era5__surface_thermal_radiation_downwards_sum__minimum,ERA5-Land
21,era5__surface_thermal_radiation_downwards_min__minimum,ERA5-Land
22,era5__skin_temperature__minimum,ERA5-Land
23,era5__skin_temperature_min__minimum,ERA5-Land
24,era5__temperature_2m__p05,ERA5-Land
25,era5__soil_temperature_level_2_max__p05,ERA5-Land
26,era5__soil_temperature_level_1_min__minimum,ERA5-Land
27,era5__lake_bottom_temperature_min__mean,ERA5-Land
28,era5__soil_temperature_level_2_min__minimum,ERA5-Land
29,era5__soil_temperature_level_2_max__minimum,ERA5-Land
30,era5__lake_bottom_temperature_min__p05,ERA5-Land
31,era5__surface_thermal_radiation_downwards_max__minimum,ERA5-Land
32,era5__temperature_2m_min__days_le_5c,ERA5-Land
33,era5__lake_total_layer_temperature__p25,ERA5-Land
34,era5__soil_temperature_level_1__minimum,ERA5-Land
35,era5__temperature_2m_min__p05,ERA5-Land
36,era5__lake_total_layer_temperature_max__p25,ERA5-Land
37,era5__lake_mix_layer_temperature__p25,ERA5-Land
38,era5__temperature_2m_max__mean,ERA5-Land
39,era5__soil_temperature_level_2_max__p25,ERA5-Land
40,era5__lake_mix_layer_temperature_min__mean,ERA5-Land
41,era5__temperature_2m_min__minimum,ERA5-Land
42,era5__soil_temperature_level_1_max__p05,ERA5-Land
43,era5__dewpoint_temperature_2m__minimum,ERA5-Land
44,era5__soil_temperature_level_1__mean,ERA5-Land
45,era5__lake_total_layer_temperature_min__mean,ERA5-Land
46,era5__surface_thermal_radiation_downwards_min__p25,ERA5-Land
47,era5__lake_total_layer_temperature_min__p25,ERA5-Land
48,era5__lake_mix_layer_temperature_min__p25,ERA5-Land
49,era5__lake_mix_layer_temperature_max__p25,ERA5-Land
50,era5__soil_temperature_level_2_min__p25,ERA5-Land
51,era5__lake_bottom_temperature_max__p25,ERA5-Land
52,era5__lake_bottom_temperature__p25,ERA5-Land
53,era5__surface_thermal_radiation_downwards_min__p05,ERA5-Land
54,era5__lake_total_layer_temperature_max__mean,ERA5-Land
55,era5__soil_temperature_level_2_min__p05,ERA5-Land
56,era5__soil_temperature_level_3__minimum,ERA5-Land
57,era5__soil_temperature_level_1_max__minimum,ERA5-Land
58,era5__lake_mix_layer_temperature_min__p75,ERA5-Land
59,era5__temperature_2m_max__p50,ERA5-Land
60,era5__soil_temperature_level_1_max__p25,ERA5-Land
61,era5__soil_temperature_level_4__p05,ERA5-Land
62,era5__temperature_2m__p50,ERA5-Land
63,era5__lake_bottom_temperature__mean,ERA5-Land
64,era5__soil_temperature_level_3_max__p05,ERA5-Land
65,era5__soil_temperature_level_1_min__p05,ERA5-Land
66,era5__skin_temperature__p05,ERA5-Land
67,era5__soil_temperature_level_1_min__mean,ERA5-Land
68,era5__soil_temperature_level_1__p25,ERA5-Land
69,era5__temperature_2m_min__p25,ERA5-Land
70,era5__soil_temperature_level_3_min__p25,ERA5-Land
71,era5__soil_temperature_level_2__minimum,ERA5-Land
72,era5__soil_temperature_level_2__p25,ERA5-Land
73,era5__soil_temperature_level_2__p05,ERA5-Land
74,era5__dewpoint_temperature_2m_max__p05,ERA5-Land
75,era5__soil_temperature_level_3_min__minimum,ERA5-Land
76,era5__temperature_2m__minimum,ERA5-Land
77,era5__soil_temperature_level_3__p05,ERA5-Land
78,era5__lake_mix_layer_temperature_min__p05,ERA5-Land
79,era5__lake_mix_layer_temperature_min__minimum,ERA5-Land
80,era5__lake_total_layer_temperature_min__p50,ERA5-Land
81,era5__skin_temperature__p25,ERA5-Land
82,era5__lake_bottom_temperature_max__p05,ERA5-Land
83,era5__temperature_2m__mean,ERA5-Land
84,modis_lst_night_min_c,MODIS
85,modis_lst_night_p05_c,MODIS
86,modis_lst_night_mean_c,MODIS
87,modis_lai_valid_fraction,MODIS
88,modis_lst_day_p05_c,MODIS
89,modis_fpar_n_valid_observations,MODIS
90,modis_lai_n_valid_observations,MODIS
91,modis_nbar_savi_min,MODIS
92,modis_lst_day_mean_c,MODIS
93,modis_nbar_savi_mean,MODIS
94,modis_fpar_valid_fraction,MODIS
95,modis_diurnal_range_mean_c,MODIS
96,modis_nbar_savi_p05,MODIS
97,modis_diurnal_n_valid_days,MODIS
98,modis_evi_n_valid_observations,MODIS
99,modis_gpp_n_valid_observations,MODIS
100,modis_lst_day_n_valid_days,MODIS
101,modis_savi_mean,MODIS
102,modis_nbar_savi_max,MODIS
103,modis_lst_night_valid_fraction,MODIS
104,modis_lst_day_min_c,MODIS
105,modis_gpp_valid_fraction,MODIS
106,modis_lst_day_valid_fraction,MODIS
107,modis_savi_max,MODIS
108,modis_savi_min,MODIS
109,modis_savi_n_valid_observations,MODIS
110,modis_lst_night_n_valid_days,MODIS
111,modis_savi_sd,MODIS
112,modis_fpar_min,MODIS
113,modis_evi_max,MODIS
114,modis_evi_valid_fraction,MODIS
115,modis_evi_mean,MODIS
